Company Name,Link,Total of Employees
AWS,https://www.linkedin.com/company/amazon-web-services/,130.998
GE,https://www.linkedin.com/company/ge/,225.200
Tesla,https://www.linkedin.com/company/tesla-motors/,57.971
Globo,https://www.linkedin.com/company/globo/,18.100
